"","i","yr","PM25_count","NO2","Wind_speed","Air_temp","Humidity","Latt","Long","Loc_X","Loc_Y"
"1",6,2013,52,0.00153208548470641,2.13941519122133,22.497119813381,74.8145686916816,-23.9408,151.3507,943004.0274,-2654506.426
"2",9,2013,59,0.00456473842031035,3.23057633512011,22.2639892793329,68.1020795116141,-23.8701,151.2216,930076.8494,-2646264.37
"3",24,2013,39,0.00601003322484226,2.21746191816918,20.5093215207465,66.2314284296208,-27.5358,152.9934,1092414.605,-3060140.654
"4",25,2013,73,0.0137600680803928,1.63185942854049,22.0314170592163,71.1235720667064,-27.4848,153.0321,1096524.635,-3054660.114
"5",26,2013,22,0.00574066719960509,3.25831657374841,22.4135506506951,68.1992743271222,-23.8626,151.2705,935089.9004,-2645582.326
"6",29,2013,27,0.00391160686246452,1.59800675004963,22.2857474687314,68.1456918800874,-23.7744,151.1055,918542.9234,-2635301.988
"7",34,2013,17,0.00605751438472611,2.93816332290201,20.5568020827621,70.3521658170788,-27.4296,153.1581,1109317.635,-3049140.804
"8",6,2014,17,0.00124568442995783,2.17074466209109,22.8823948794167,73.1967535701866,-23.9408,151.3507,943004.0274,-2654506.426
"9",9,2014,27,0.00434253959871809,3.27259478669206,22.1514682956511,66.9864820987034,-23.8701,151.2216,930076.8494,-2646264.37
"10",24,2014,30,0.00660532052422463,2.21548849552274,20.7653116290103,63.2458472691692,-27.5358,152.9934,1092414.605,-3060140.654
"11",25,2014,45,0.0138062388670794,1.66216335474182,22.0268306349533,69.5251583837511,-27.4848,153.0321,1096524.635,-3054660.114
"12",26,2014,30,0.00540685459610728,2.49771225235446,22.4872786905124,67.9211663233247,-23.8626,151.2705,935089.9004,-2645582.326
"13",29,2014,6,0.00350575712455105,1.61175799086758,22.2196277546158,67.8350342465753,-23.7744,151.1055,918542.9234,-2635301.988
"14",34,2014,20,0.00661508105435105,4.29157985292722,20.9856150157889,70.8056352591644,-27.4296,153.1581,1109317.635,-3049140.804
"15",6,2015,3,0.00117833260665335,2.09663688703593,23.0529074846139,73.3807246376812,-23.9408,151.3507,943004.0274,-2654506.426
"16",9,2015,7,0.00344614278274283,3.19529518330744,22.3190118421593,66.0819097313249,-23.8701,151.2216,930076.8494,-2646264.37
"17",24,2015,76,0.00592650666679694,2.01529948381973,20.538092019059,65.2006380782212,-27.5358,152.9934,1092414.605,-3060140.654
"18",25,2015,69,0.0166732374196809,1.63980141184452,21.5220687859045,69.2544562643382,-27.4848,153.0321,1096524.635,-3054660.114
"19",26,2015,4,0.00505927139281895,2.40453569719817,22.7202775775054,65.0592633982216,-23.8626,151.2705,935089.9004,-2645582.326
"20",29,2015,12,0.00338885364982447,1.54819308545336,22.4280251141553,67.6414106327462,-23.7744,151.1055,918542.9234,-2635301.988
"21",34,2015,4,0.00653688259138018,3.66959670918348,20.5291817742745,74.6828279701687,-27.4296,153.1581,1109317.635,-3049140.804
"22",6,2016,8,0.000994275030472674,1.99503491196114,23.3832843328588,75.8730533998663,-23.9408,151.3507,943004.0274,-2654506.426
"23",9,2016,13,0.00367689402387853,3.21918137052225,22.7986374165749,67.3854599129982,-23.8701,151.2216,930076.8494,-2646264.37
"24",24,2016,50,0.00668992955157283,2.0432712566729,21.2330995749848,62.6302732930397,-27.5358,152.9934,1092414.605,-3060140.654
"25",25,2016,88,0.0143709192783141,1.65305913348946,22.3874521056883,67.741989589358,-27.4848,153.0321,1096524.635,-3054660.114
"26",26,2016,22,0.00543856412289282,2.31930093518616,22.9976112695019,67.530816900293,-23.8626,151.2705,935089.9004,-2645582.326
"27",29,2016,3,0.0038378677828072,1.53651370259977,22.9573884335155,68.9984858834244,-23.7744,151.1055,918542.9234,-2635301.988
"28",34,2016,16,0.00618721858419268,2.9675850341079,20.9894876458328,68.8171455099965,-27.4296,153.1581,1109317.635,-3049140.804
"29",6,2017,8,0.000995927004945679,1.99466742770167,23.3708755228119,75.8492466968523,-23.9408,151.3507,943004.0274,-2654506.426
"30",9,2017,12,0.00333266865673657,3.07511705168927,22.7849783241465,68.7255092832168,-23.8701,151.2216,930076.8494,-2646264.37
"31",24,2017,70,0.00634538162821822,1.95295260526648,21.2228861124647,64.200083307765,-27.5358,152.9934,1092414.605,-3060140.654
"32",25,2017,76,0.0142965539583726,1.60423836264745,22.5542362183271,66.0846920503739,-27.4848,153.0321,1096524.635,-3054660.114
"33",26,2017,13,0.00468295934303116,2.27375660115148,23.0905782512438,67.388600041511,-23.8626,151.2705,935089.9004,-2645582.326
"34",29,2017,14,0.00359809278733137,1.64231569246972,22.8919390084801,69.939913568167,-23.7744,151.1055,918542.9234,-2635301.988
"35",34,2017,16,0.00624305369187147,2.88970687414264,20.8845145542753,69.4945576036992,-27.4296,153.1581,1109317.635,-3049140.804
