,Site_No,Site_name,Latitude,Longitude,Loc_X,Loc_Y
1,1,Abbot Point,-19.9496,148.0482,609686.7808,-2206246.417
2,2,Aldoga,-23.8403,151.0628,913975.2598,-2642484.861
3,3,Auckland Point,-23.8351,151.2539,933488.2753,-2642481.006
4,5,Boat Creek,-23.8199,151.1538,923324.9064,-2640491.831
5,6,Boyne Island,-23.9408,151.3507,943004.0274,-2654506.426
6,8,Cannon Hill,-27.4654,153.0872,1102091.435,-3052771.772
7,9,Clinton,-23.8701,151.2216,930076.8494,-2646264.37
8,11,Flinders View,-27.6528,152.7741,1070086.086,-3072103.616
9,12,Gatton,-27.5434,152.3343,1027114.601,-3057992.123
10,14,Josephville,-27.9962,152.9255,1083215.682,-3110970.699
11,15,Lytton,-27.4065,153.1527,1108909.581,-3046546.949
12,21,North Maclean,-27.7708,153.03,1094759.669,-3086430.672
13,24,Rocklea,-27.5358,152.9934,1092414.605,-3060140.654
14,25,South Brisbane,-27.4848,153.0321,1096524.635,-3054660.114
15,26,South Gladstone,-23.8626,151.2705,935089.9004,-2645582.326
16,27,Springwood,-27.6125,153.1359,1106106.417,-3069358.004
17,28,Stuart,-19.3212,146.8422,483423.6776,-2136375.695
18,29,Targinie,-23.7744,151.1055,918542.9234,-2635301.988
19,31,Townsville Coast Guard,-19.2542,146.8257,481682.9583,-2128963.696
20,33,Woolloongabba,-27.4975,153.035,1096743.158,-3056085.385
21,34,Wynnum North,-27.4296,153.1581,1109317.635,-3049140.804
22,35,Wynnum West,-27.4379,153.1495,1108419.017,-3050020.872
